time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-09-29T00:04:05Z,161,0,0,0,0,0,3163933,1248,17936,108,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,2,1,2,2,2,0,0,3,3,0,0,0,0,0,0,38,1,0,0,2048,1,954,2,0,0,0,0,0,0,1,9,19485264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:05:05Z,161,0,0,0,0,0,4410044,1467,1264155,0,0,0,0,0,0,42352,0,0,0,0,0,0,0,69,5,0,32,1,5,20174,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,230,49926968,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0,488,0,50,0,976,0,0,0,0,0,0,0,0,0,0,36537,0,5550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:06:05Z,161,0,0,0,0,0,5349852,1467,2203963,0,0,0,0,0,0,33151,0,0,0,0,0,0,0,118,5,0,60,1,5,16320,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,184,44277488,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,28908,0,4142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:07:05Z,161,0,0,0,0,0,6417932,1467,3272043,0,0,0,0,0,0,38759,0,0,0,0,0,0,0,177,5,0,91,1,5,19350,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,222,74975584,8,0,0,0,0,0,0,0,0,0,0,2,0,4,0,300,0,12,0,600,0,0,0,0,0,0,0,0,0,0,34150,0,4494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:08:05Z,161,0,0,0,0,0,7452236,1467,4306347,0,0,0,0,0,0,40349,0,0,0,0,0,0,0,227,5,0,121,1,5,20948,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,299,73492144,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,35815,0,4436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:09:05Z,161,0,0,0,0,0,8447924,1467,5302035,0,0,0,0,0,0,35889,0,0,0,0,0,0,0,288,9,0,150,1,7,18435,0,0,0,0,0, ,0,0,0,0,0,0,11344,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,186,93264936,3,0,0,0,0,0,0,0,0,0,0,2,0,5,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,31637,0,4124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:10:05Z,161,0,0,0,0,0,9290100,1467,6144211,0,0,0,0,0,0,30902,0,0,0,0,0,0,0,331,9,0,171,1,7,15556,0,0,0,0,0, ,0,0,0,0,0,0,30887,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229,68,208,76906752,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,27182,0,3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:11:05Z,161,0,0,0,0,0,9813252,1467,6667363,0,0,0,0,0,0,35668,0,0,0,0,0,0,0,350,10,0,171,1,7,21147,0,0,0,0,0, ,0,0,0,0,0,0,35649,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,204,89612304,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,33107,0,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:12:05Z,161,0,0,0,0,0,10731420,1467,7585531,0,0,0,0,0,0,39543,0,0,0,0,0,0,0,385,10,0,167,1,7,20963,0,0,0,0,0, ,0,0,0,0,0,0,39529,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,244,95153048,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,35374,0,4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:13:05Z,161,0,0,0,0,0,11400588,1467,8254699,0,0,0,0,0,0,34889,0,0,0,0,0,0,0,413,10,0,162,1,7,19470,0,0,0,0,0, ,0,0,0,0,0,0,34871,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,282,66,216,91103176,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,31704,0,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:14:05Z,161,0,0,0,0,0,12030316,1467,8884427,0,0,0,0,0,0,36088,0,0,0,0,0,0,0,436,10,0,159,1,7,20944,0,0,0,0,0, ,0,0,0,0,0,0,36076,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,134,94390640,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,33208,0,2814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:15:05Z,161,0,0,0,0,0,12464972,1467,9319083,0,0,0,0,0,0,35891,0,0,0,0,0,0,0,450,11,0,154,1,7,20589,0,0,0,0,0, ,0,0,0,0,0,0,35874,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,170,103940608,2,0,0,0,0,0,0,0,0,0,0,2,0,5,0,300,0,12,0,600,0,0,0,0,0,0,0,0,0,0,33536,0,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:16:05Z,161,0,0,0,0,0,12784228,1467,9638339,0,0,0,0,0,0,35084,0,0,0,0,0,0,0,470,11,0,149,1,7,20146,0,0,0,0,0, ,0,0,0,0,0,0,35069,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,213,130517144,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,300,0,12,0,600,0,0,0,0,0,0,0,0,0,0,33274,0,1733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:17:05Z,161,0,0,0,0,0,13127180,1467,9981291,0,0,0,0,0,0,33931,0,0,0,0,0,0,0,489,12,0,145,1,7,18837,0,0,0,0,0, ,0,0,0,0,0,0,33912,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,468,84,272,126398904,2,0,0,0,0,0,0,0,0,0,0,3,0,4,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,31900,0,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:18:05Z,161,0,0,0,0,0,13318580,1467,10172691,0,0,0,0,0,0,33969,0,0,0,0,0,0,0,495,12,0,140,1,7,20395,0,0,0,0,0, ,0,0,0,0,0,0,33952,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,207,120050800,2,0,0,0,0,0,0,0,0,0,0,3,0,5,0,300,0,12,0,600,0,0,0,0,0,0,0,0,0,0,32563,0,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:19:05Z,161,0,0,0,0,0,13514348,1467,10368459,0,0,0,0,0,0,30756,0,0,0,0,0,0,0,506,12,0,135,1,7,18334,0,0,0,0,0, ,0,0,0,0,0,0,30744,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,209,137939056,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,29521,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:20:05Z,161,0,0,0,0,0,13651100,1467,10505211,0,0,0,0,0,0,32631,0,0,0,0,0,0,0,507,12,0,131,1,7,20379,0,0,0,0,0, ,0,0,0,0,0,0,32615,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,312,68,245,137216176,3,0,0,0,0,0,0,0,0,0,0,2,0,4,0,300,0,12,0,600,0,0,0,0,0,0,0,0,0,0,31557,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:21:05Z,161,0,0,0,0,0,13875732,1467,10729843,0,0,0,0,0,0,34384,0,0,0,0,0,0,0,515,12,0,126,1,7,20665,0,0,0,0,0, ,0,0,0,0,0,0,34371,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,232,138754768,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,32983,0,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:22:05Z,161,0,0,0,0,0,14113516,1467,10967627,0,0,0,0,0,0,33568,0,0,0,0,0,0,0,531,11,0,120,1,7,19847,0,0,0,0,0, ,0,0,0,0,0,0,33554,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,214,151018784,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,32003,0,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:23:05Z,161,0,0,0,0,0,14256268,1467,11110379,0,0,0,0,0,0,30547,0,0,0,0,0,0,0,538,11,0,116,1,7,18740,0,0,0,0,0, ,0,0,0,0,0,0,30532,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,292,72,257,156463760,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,250,0,10,0,500,0,0,0,0,0,0,0,0,0,0,29512,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-29T00:24:05Z,161,0,0,0,0,0,14434980,1467,11289091,0,0,0,0,0,0,35566,0,0,0,0,0,0,0,548,11,0,111,1,7,21843,0,0,0,0,0, ,0,0,0,0,0,0,35547,0,0,0,943,1,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506643445083,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,258,178496064,1,0,0,0,0,0,0,0,0,0,0,2,0,5,0,350,0,14,0,700,0,0,0,0,0,0,0,0,0,0,34252,0,1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
